,t_dist,t_dist_seq,t_dist_mpi,k_dist,num_vertices
0,0.387269227,0.378385268,0.008883958999999997,1,8
1,0.0007664559999999709,0.00025519999999995546,0.0005112560000000155,2,16
2,0.0012473870000000442,0.0005949340000000469,0.0006524529999999973,2,32
3,0.002820749999999983,0.0015633259999999205,0.0012574240000000625,2,64
4,0.00859902899999998,0.004862727999999983,0.0037363009999999974,2,128
5,0.044833047000000015,0.028502371999999943,0.016330675000000072,3,256
6,0.18594873700000003,0.11881856899999999,0.06713016800000005,3,512
7,0.7973880120000001,0.4780000149999999,0.3193879970000002,3,1024
8,3.3418387829999996,1.983602893000001,1.3582358899999987,3,2048
9,14.033765145,8.126892095000002,5.906873049999998,3,4096
10,56.575543372000006,32.38625663300001,24.189286738999996,3,8192
11,305.149059283,151.2015786609999,153.94748062200009,3,16384
